date,open,high,low,close,volume_btc,volume_usd,log_ret,abs_log_ret
2025-04-01,82539.52,85554.98,82419.98,85174.96,23296.36,1962356062.59,,
2025-04-02,85174.96,88505.24,82299.2,82490.58,41160.08,3519914220.4,-0.03202338892233885,0.03202338892233885
2025-04-03,82490.58,83928.41,81178.57,83158.8,28340.47,2335462308.44,0.008067927868055024,0.008067927868055024
2025-04-04,83158.8,84716.02,81648.68,83860.21,37104.6,3085885741.07,0.00839921304183538,0.00839921304183538
2025-04-05,83860.21,84230.44,82357.52,83503.37,7478.68,622496989.4,-0.004264255589270933,0.004264255589270933
2025-04-06,83503.37,83756.1,77079.93,78365.57,29753.86,2374631982.2,-0.06350231758892352,0.06350231758892352
2025-04-07,78365.57,81172.27,74426.93,79143.06,71279.71,5546499783.12,0.009872428130671415,0.009872428130671415
2025-04-08,79143.06,80835.83,76181.24,76255.1,39397.81,3084760820.88,-0.03717280236887648,0.03717280236887648
2025-04-09,76255.1,83574.06,74569.86,82587.03,62853.19,4963132858.37,0.07976834790924821,0.07976834790924821
2025-04-10,82587.03,82710.13,78405.82,79554.96,31362.13,2526317821.03,-0.03740454284306637,0.03740454284306637
2025-04-11,79554.96,84266.51,78924.27,83386.0,29349.5,2412186958.4,0.047032326003355954,0.047032326003355954
2025-04-12,83386.0,85899.74,82766.93,85272.12,14180.76,1196895442.75,0.022367125081072452,0.022367125081072452
2025-04-13,85272.12,86079.47,83019.76,83730.92,16310.95,1375187409.37,-0.018239230792783546,0.018239230792783546
2025-04-14,83730.92,85796.21,83667.03,84575.75,24118.6,2042899221.49,0.010039258641677299,0.010039258641677299
2025-04-15,84575.75,86473.18,83596.04,83638.17,18210.0,1548187876.56,-0.011147587658635738,0.011147587658635738
2025-04-16,83638.17,85485.35,83094.96,84029.4,22244.37,1871983984.29,0.004666742770028803,0.004666742770028803
2025-04-17,84029.4,85472.23,83725.98,84943.42,15229.6,1288802970.79,0.010818650182525867,0.010818650182525867
2025-04-18,84943.42,85132.75,84287.73,84459.96,5504.81,465771169.06,-0.005707811881410951,0.005707811881410951
2025-04-19,84459.96,85614.27,84355.7,85061.54,5342.18,454642234.58,0.007097418620032447,0.007097418620032447
2025-04-20,85061.54,85302.3,83954.54,85167.14,5694.47,482671707.92,0.0012406841613977462,0.0012406841613977462
2025-04-21,85167.14,88526.3,85132.52,87515.57,30403.0,2657452654.45,0.02720104170061272,0.02720104170061272
2025-04-22,87515.57,93937.07,87084.84,93483.3,42804.67,3880446944.47,0.06596609032561478,0.06596609032561478
2025-04-23,93483.3,94656.65,91943.03,93729.23,32977.9,3081124602.45,0.002627282922391338,0.002627282922391338
2025-04-24,93729.23,94047.54,91693.21,94022.48,21490.53,2000861098.9,0.003123808975860262,0.003123808975860262
2025-04-25,94022.48,95924.19,92883.11,94711.24,32483.13,3078073390.5,0.007298781136135702,0.007298781136135702
2025-04-26,94711.24,95258.03,93916.48,94663.66,7391.42,698471645.53,-0.0005024953254224839,0.0005024953254224839
2025-04-27,94663.66,95346.43,93671.22,93777.44,7713.95,726739226.7,-0.009405873067822416,0.009405873067822416
2025-04-28,93777.44,95636.66,92864.35,95035.06,20417.05,1925071151.02,0.013321560791431304,0.013321560791431304
2025-04-29,95035.06,95487.2,93780.51,94274.16,16856.75,1599631635.46,-0.008038743147642856,0.008038743147642856
2025-04-30,94274.16,95250.77,92968.85,94186.14,21486.05,2024539251.94,-0.0009340960021824148,0.0009340960021824148
2025-05-01,94186.14,97505.38,94150.92,96519.31,23665.14,2278228402.24,0.02447005495470042,0.02447005495470042
2025-05-02,96519.31,97939.99,96386.78,96925.07,16175.06,1571644595.63,0.0041951138108018765,0.0041951138108018765
2025-05-03,96925.07,96963.89,95826.0,95903.14,7082.92,682121711.48,-0.0105994819712125,0.0105994819712125
2025-05-04,95903.14,96326.95,94313.27,94394.09,10960.75,1046015845.6,-0.01586025853399384,0.01586025853399384
2025-05-05,94394.09,95224.21,93694.42,94767.95,17619.91,1661608010.46,0.0039528066707972195,0.0039528066707972195
2025-05-06,94767.95,96911.52,93382.91,96835.87,18330.26,1735613081.89,0.021586211563950887,0.021586211563950887
2025-05-07,96835.87,97720.02,95816.56,97052.27,20000.95,1936285634.4,0.0022322158524629336,0.0022322158524629336
2025-05-08,97052.27,104147.97,96905.18,103259.0,40299.96,4054486165.35,0.061990695765902375,0.061990695765902375
2025-05-09,103259.0,104353.74,102332.43,102982.3,22760.45,2345592246.87,-0.0026832663100755613,0.0026832663100755613
2025-05-10,102982.3,104980.23,102830.2,104814.08,9107.42,944047262.42,0.017630985205216967,0.017630985205216967
2025-05-11,104814.08,104958.29,103353.87,104124.02,10980.95,1144137614.49,-0.006605425329663129,0.006605425329663129
2025-05-12,104124.02,105783.35,100723.18,102802.44,27678.93,2862364942.19,-0.012773600530065219,0.012773600530065219
2025-05-13,102802.44,105015.14,101466.16,104136.59,20326.97,2105889171.38,0.012894314668137306,0.012894314668137306
2025-05-14,104136.59,104357.47,102615.68,103543.76,16577.27,1716689620.72,-0.005709077533842624,0.005709077533842624
2025-05-15,103543.76,104197.65,101407.14,103787.64,17867.52,1837798016.09,0.0023525632150323606,0.0023525632150323606
2025-05-16,103787.64,104594.19,103138.18,103499.6,14498.25,1506289579.07,-0.0027791405336155244,0.0027791405336155244
2025-05-17,103499.6,103729.29,102642.39,103159.32,5830.13,601366594.09,-0.0032931586744476033,0.0032931586744476033
2025-05-18,103159.32,106670.63,103144.58,106488.62,12986.86,1361010736.04,0.03176353569083279,0.03176353569083279
2025-05-19,106488.62,107117.46,102104.37,105618.19,23756.73,2480463388.93,-0.008207514753981729,0.008207514753981729
