token_symbol,consensus_votes,suspicion_score,p_fraud,taxonomy
WFT,3,0.9822335025380712,0.9491960015337441,FRAUD
ZIPT,3,0.9868481772035071,0.9423761497962226,NORMAL
Imagine,3,0.9970004614674666,0.9256825792935823,
BOAW,3,0.976465159206276,0.9209465801760799,
Maui,3,0.9750807568066452,0.9200609532088951,
tacBTC,3,0.9981541301338256,0.9193737646137939,
RWADoge,3,0.9838486386709736,0.9132700621216514,
KOL,3,0.98338717120443,0.9069940898526673,
MAL,2,0.9766958929395476,0.8959220041156188,
fwcbBTC,3,0.978772496538994,0.8890632554283563,
GREED,1,0.9560452238117212,0.8319496363287484,FRAUD
trance,1,0.95777572681126,0.8319490690264407,
ZST,1,0.9543147208121828,0.8319487592315943,
BFRY,0,0.924665436086756,0.8278409482680843,
UPITGO,2,0.9593908629441624,0.82346908405161,
