token_symbol,token_address,taxonomy,actually_fraud,confidence,consensus_votes,suspicion_score,p_fraud,p_fraud_loo
TETH,0x520d3f17699fb39330b8209c01bbd2c0af157e74,BUG,No,HIGH,3,0.998,0.869,0.875
PENGU,0x6418c0dd099a9fda397c766304cdd918233e8847,NORMAL,No,HIGH,3,0.997,0.114,0.122
mUSD,0xaca92e438df0b2401ff60da7e4337b687a2435da,BENIGN,No,HIGH,3,0.996,0.11,0.111
WLFI,0x1963a95cfc30e49cc75f7f2de6027289971cac79,NORMAL,No,HIGH,3,0.996,0.004,0.005
TROLL,0xb5a4ce1d5e6598a7eecf2589703e9821d1ab1492,NORMAL,No,MEDIUM,3,0.994,0.423,0.429
BIGGIE,0x95ae252633e9ea03bdfe67874b349b41163464ce,NORMAL,No,MEDIUM,3,0.994,0.039,0.04
hemiBTC,0x06ea695b91700071b161a434fed42d1dcbad9f00,BENIGN,No,HIGH,3,0.992,0.902,0.917
DOGIMUS,0xa1d0948745c79b5df654b0ec1082f9b61206add4,NORMAL,No,MEDIUM,3,0.991,0.012,0.012
DEGEN,0x420658a1d8b8f5c36ddaf1bb828f347ba9011969,NORMAL,No,MEDIUM,3,0.991,0.055,0.056
BNT,0x1f573d6fb3f13d689ff844b4ce37794d79a7ff1c,NORMAL,No,HIGH,3,0.99,0.255,0.301
SURGE,0x8f4d9102661fb74adae2fb6b85a6b16f872f6b66,NORMAL,No,LOW,3,0.988,0.266,0.282
KUBO,0x0bf18990c1db3d2ce3fb1bbf4caa0a82bb63cb08,FRAUD,Yes,MEDIUM,3,0.988,0.656,0.117
CatGirl,0x1e0698bc10f0e05d961f05c17bd45f5dad5d79ef,NORMAL,No,LOW,3,0.987,0.166,0.173
ZIPT,0xedd7c94fd7b4971b916d15067bc454b9e1bad980,NORMAL,No,MEDIUM,3,0.987,0.984,0.988
URL,0xaa3efacf09767350517c5a6ee398e0dbff03785d,FRAUD,Yes,MEDIUM,3,0.987,0.862,0.859
STRAT,0x14cf922aa1512adfc34409b63e18d391e4a86a2f,NORMAL,No,MEDIUM,2,0.986,0.003,0.003
thBILL,0x5fa487bca6158c64046b2813623e20755091da0b,BENIGN,No,HIGH,3,0.986,0.28,0.288
FF,0xfa1c09fc8b491b6a4d3ff53a10cad29381b3f949,NORMAL,No,MEDIUM,2,0.985,0.004,0.004
apxUSD,0x98a878b1cd98131b271883b390f68d2c90674665,BENIGN,No,HIGH,3,0.985,0.802,0.809
3Crv,0x6c3f90f043a72fa612cbac8115ee7e52bde6e490,BENIGN,No,HIGH,3,0.984,0.003,0.003
VBTC,0xe1406825186d63980fd6e2ec61888f7b91c4bae4,NORMAL,No,HIGH,3,0.984,0.035,0.037
MIM,0x99d8a9c45b2eca8864373a26d1459e3dff1e17f3,SHOCK,No,HIGH,3,0.984,0.002,0.002
IRIS,0xea87148a703adc0de89db2ac2b6b381093ae8ee0,NORMAL,No,HIGH,2,0.982,0.009,0.009
WFT,0x4a4a60e943265342b5cc05d75bb80a8886c9648c,FRAUD,Yes,HIGH,3,0.982,0.986,0.987
fxSAVE,0x7743e50f534a7f9f1791dde7dcd89f7783eefc39,BENIGN,No,HIGH,3,0.982,0.031,0.031
AUDM,0x081599e4936d12c46bd48913b2329115cd26cbdd,BENIGN,No,HIGH,3,0.979,0.517,0.528
AKITA,0x870ce1df2f0bcbf64dd6059d17e67368cc71360e,FRAUD,Yes,MEDIUM,3,0.979,0.449,0.362
USDat,0x23238f20b894f29041f48d88ee91131c395aaa71,BENIGN,No,HIGH,3,0.979,0.738,0.743
BRO,0x9483bc3c75f85ece3e9bf4f95088eecd932547c6,NORMAL,No,LOW,3,0.977,0.4,0.405
LUA,0xb1f66997a5760428d3a87d68b90bfe0ae64121cc,NORMAL,No,HIGH,2,0.975,0.389,0.409
WLFI,0xda5e1988097297dcdc1f90d4dfe7909e847cbef6,NORMAL,No,HIGH,3,0.975,0.017,0.017
LABUBU,0xabc930fdd6bcbbc2b5ae0d338138a025ec12ee55,NORMAL,No,MEDIUM,2,0.966,0.013,0.013
CRAB,0x24bcec1afda63e622a97f17cff9a61ffcfd9b735,NORMAL,No,LOW,2,0.963,0.817,0.826
